,Trial,Data,a0,b0,Posterior current,λ current,Posterior proposed,λ proposed,Ratio,p_move,Random,λ accepted
0,0,[0],0.0,1.0,0.0,0.5484944560491747,0.35083644750763965,0.5484944560491747,inf,1.0,[0.35426468],0.5484944560491747
1,1,[0],0.0,1.0,0.0,0.15408851162997853,0.13585411443005704,0.15408851162997853,inf,1.0,[0.33867085],0.15408851162997853
2,2,[0],0.0,1.0,0.0,0.06231815737745894,0.0820596529586988,0.06231815737745894,inf,1.0,[0.52153306],0.06231815737745894
3,3,[0],0.0,1.0,0.0,2.1216490623646596e-39,1.4661786871743988e-20,2.1216490623646596e-39,inf,1.0,[0.90534158],2.1216490623646596e-39
4,4,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.52001015],2.1216490623646596e-39
5,5,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.25754206],2.1216490623646596e-39
6,6,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.39437005],2.1216490623646596e-39
7,7,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.60069857],2.1216490623646596e-39
8,8,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.07936579],2.1216490623646596e-39
9,9,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.45063649],2.1216490623646596e-39
10,10,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.29686078],2.1216490623646596e-39
11,11,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.457412],2.1216490623646596e-39
12,12,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.04857903],2.1216490623646596e-39
13,13,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.16593788],2.1216490623646596e-39
14,14,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.30646975],2.1216490623646596e-39
15,15,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.66487245],2.1216490623646596e-39
16,16,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.44032788],2.1216490623646596e-39
17,17,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.565642],2.1216490623646596e-39
18,18,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.8148437],2.1216490623646596e-39
19,19,[0],0.0,1.0,0.0,2.1216490623646596e-39,,0.0,,,[0.750717],2.1216490623646596e-39
